States,District,Cities,Latitude,Longitude,Sample_Population,ISO,Date
"Kedah","Baling","Baling",5.6831,100.9106,2395,"MY-02",01/01/15 12:00 AM
"Kedah","Baling","Baling",5.8149,100.8916,6412,"MY-02",01/02/15 12:00 AM
"Kedah","Baling","Baling",5.7138,100.8009,7569,"MY-02",01/03/15 12:00 AM
"Kedah","Baling","Baling",5.7073,100.9602,2004,"MY-02",01/04/15 12:00 AM
"Kedah","Baling","Baling",5.6875,100.9262,7823,"MY-02",01/05/15 12:00 AM
"Kedah","Baling","Baling",5.6914,100.8494,5401,"MY-02",01/06/15 12:00 AM
"Kedah","Bandar Baharu","Serdang",5.2144,100.6151,5710,"MY-02",01/07/15 12:00 AM
"Kedah","Bandar Baharu","Serdang",5.1964,100.5844,3547,"MY-02",01/08/15 12:00 AM
"Kedah","Bandar Baharu","Serdang",5.2035,100.6273,5036,"MY-02",01/09/15 12:00 AM
"Kedah","Bandar Baharu","Serdang",5.2455,100.6017,6572,"MY-02",01/10/15 12:00 AM
"Kedah","Bandar Baharu","Serdang",5.2251,100.595,3340,"MY-02",01/11/15 12:00 AM
"Kedah","Bandar Baharu","Serdang",5.2648,100.6143,4828,"MY-02",01/12/15 12:00 AM
"Kedah","Kuala Muda","Sungai Petani",5.6552,100.5292,7595,"MY-02",01/13/15 12:00 AM
"Kedah","Kuala Muda","Sungai Petani",5.647,100.4862,3041,"MY-02",01/14/15 12:00 AM
"Kedah","Kuala Muda","Sungai Petani",5.6432,100.5699,4013,"MY-02",01/15/15 12:00 AM
"Kedah","Kuala Muda","Sungai Petani",5.6519,100.549,7397,"MY-02",01/16/15 12:00 AM
"Kedah","Kuala Muda","Sungai Petani",5.6852,100.5695,6954,"MY-02",01/17/15 12:00 AM
"Kedah","Kuala Muda","Sungai Petani",5.6695,100.4926,5930,"MY-02",01/18/15 12:00 AM
"Kedah","Kubang Pasu","Jitra",6.2413,100.4322,3607,"MY-02",01/19/15 12:00 AM
"Kedah","Kubang Pasu","Jitra",6.2793,100.4203,6054,"MY-02",01/20/15 12:00 AM
"Kedah","Kubang Pasu","Jitra",6.273,100.4583,5282,"MY-02",01/21/15 12:00 AM
"Kedah","Kubang Pasu","Jitra",6.3288,100.478,1553,"MY-02",01/22/15 12:00 AM
"Kedah","Kubang Pasu","Jitra",6.2683,100.4248,7607,"MY-02",01/23/15 12:00 AM
"Kedah","Kubang Pasu","Jitra",6.2757,100.422,8364,"MY-02",01/24/15 12:00 AM
"Kedah","Kubang Pasu","Jitra",6.3288,100.478,8008,"MY-02",01/25/15 12:00 AM
"Kedah","Kubang Pasu","Sintok",6.4576,100.503,4607,"MY-02",01/26/15 12:00 AM
"Kedah","Kubang Pasu","Sintok",6.446,100.486,3015,"MY-02",01/27/15 12:00 AM
"Kedah","Kubang Pasu","Sintok",6.44,100.531,6021,"MY-02",01/28/15 12:00 AM
"Kedah","Kubang Pasu","Sintok",6.442,100.479,4686,"MY-02",01/29/15 12:00 AM
"Kedah","Kubang Pasu","Sintok",6.425,100.498,5952,"MY-02",01/30/15 12:00 AM
"Kedah","Kubang Pasu","Sintok",6.467,100.538,2248,"MY-02",01/31/15 12:00 AM
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.5,100.411,4091,"MY-02",02/01/15 12:00 AM
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.516,100.4352,1970,"MY-02",02/02/15 12:00 AM
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.5,100.228,8017,"MY-02",02/03/15 12:00 AM
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.515,100.3938,6423,"MY-02",02/04/15 12:00 AM
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.495,100.3983,5825,"MY-02",02/05/15 12:00 AM
"Kedah","Kubang Pasu","Bukit Kayu Hitam",6.513,100.445,1539,"MY-02",02/06/15 12:00 AM
"Kedah","Kulim","Kulim",5.3411,100.5649,4418,"MY-02",02/07/15 12:00 AM
"Kedah","Kulim","Kulim",5.4165,100.5797,3611,"MY-02",02/08/15 12:00 AM
"Kedah","Kulim","Kulim",5.309,100.5663,4755,"MY-02",02/09/15 12:00 AM
"Kedah","Kulim","Kulim",5.3926,100.5367,3150,"MY-02",02/10/15 12:00 AM
"Kedah","Kulim","Kulim",5.3683,100.5576,7659,"MY-02",02/11/15 12:00 AM
"Kedah","Kulim","Kulim",5.3846,100.5461,5424,"MY-02",02/12/15 12:00 AM
"Kedah","Kota Setar","Alor Setar",6.124,100.3684,8501,"MY-02",02/13/15 12:00 AM
"Kedah","Kota Setar","Alor Setar",6.1281,100.3433,1375,"MY-02",02/14/15 12:00 AM
"Kedah","Kota Setar","Alor Setar",6.1609,100.3634,6368,"MY-02",02/15/15 12:00 AM
"Kedah","Kota Setar","Alor Setar",6.1205,100.3684,7770,"MY-02",02/16/15 12:00 AM
